,title,body,date,news
30,[교육소식]대전대 총학생회 중간고사 마스크 나눔 행사 등,나눔행사 [대전=뉴시스] 유순상 기자 = 대전대는 '34대 일편단심 총학생회'가 중간고사 기간을 맞아 재학생들에게 마스크 및 손소독제를 나눠줬다고 23일 밝혔다. 안전한..., 2020.10.23 , 뉴시스 
31,"'전참시' 구혜선, 중간고사 과제→셀프 앞머리 커트... 반전 일상...","시선을 TV 앞으로 끌어당길 예정.이날 구혜선은 자신만의 작업실에서 대학원 중간고사 과제부터 작곡, 미술 등 작업 활동에 한창이다. 하지만 온라인 강의를 듣던 중 별안간...", 2020.11.05 , 스타데일리뉴스 
32,'전참시' 구혜선이 뜬다! 중간고사→작품활동까지..'구방미인 작...,"시선을 TV 앞으로 끌어당길 예정. 이날 구혜선은 자신만의 작업실에서 대학원 중간고사 과제부터 작곡, 미술 등 작업 활동에 한창이다. 하지만 온라인 강의를 듣던 중...", 2020.11.05 , 뉴스웨이브 
33,'전참시' 구혜선이 뜬다! 중간고사→작품활동까지..'구방미인 작...,"시선을 TV 앞으로 끌어당길 예정. 이날 구혜선은 자신만의 작업실에서 대학원 중간고사 과제부터 작곡, 미술 등 작업 활동에 한창이다. 하지만 온라인 강의를 듣던 중...", 2020.11.05 , 나눔뉴스 
34,'전참시' 구혜선이 뜬다! 중간고사→작품활동까지..'구방미인 작...,"시선을 TV 앞으로 끌어당길 예정. 이날 구혜선은 자신만의 작업실에서 대학원 중간고사 과제부터 작곡, 미술 등 작업 활동에 한창이다. 하지만 온라인 강의를 듣던 중...", 2020.11.05 , 스타저널 
35,'전참시' 구혜선이 뜬다! 중간고사→작품활동까지..'구방미인 작...,"시선을 TV 앞으로 끌어당길 예정. 이날 구혜선은 자신만의 작업실에서 대학원 중간고사 과제부터 작곡, 미술 등 작업 활동에 한창이다. 하지만 온라인 강의를 듣던 중...", 2020.11.05 , 케이에스피뉴스 
36,"한솔플러스수학교실, 전국 중간고사 시행 결과","브랜드 한솔플러스수학교실에서는 초, 중등 학생 대상 누구나 응시 가능한 전국 중간고사를 시행했다. 2학기 학사 일정이 2개월도 채 남지 않은 시점에 다음 학년을 준비...", 2020.10.30 , 공감신문 
37,"서울여자간호대, 2학기 중간고사 대면 시험으로 진행",신문 조영은 기자] 서울여자간호대학교(총장 김종수)가 12일부터 16일까지 2학기 중간고사를 대면 시험으로 진행했다. 앞서 서울여자간호대는 코로나19의 여파로 2학기 수업..., 2020.10.26 , 한국대학신문 
38,"다가오는 중간고사, '이렇게' 공부하면 효율이 떨어져요","2학기 중간고사가 얼마 남지 않았다. 시험공부는 항상 힘들지만, 중간고사는 유독 공부에 집중하기 힘든 느낌이다. 벚꽃의 다른 꽃말은 중간고사라는 말이 있듯, 1학기 중간...", 2020.10.13 , 하이닥 
39,"중간고사 시험 대비, '천재교육 밀크티 중학'으로 실력 UP",© 뉴스1 (서울=뉴스1) 김수정 기자 = 10월 중간고사 시험 일정을 앞두고 있는 중학교들이 많다. 사회적 거리 두기 상황에서 중간고사 시험을 생략하는 학교도 있지만 단계가..., 2020.10.12 , 뉴스1 
40,"벌써 2학기 중간고사.. 고2, 예비 고3이 되는 시기",함께 병행하는 것이 바람직하다. ━ 나에게 유리한 전형을 판단하자 ━ ① 모의고사 성적으로 정시 위치 판단하기 수시 전형 및 지원 대학을 설계하기 위해서는 먼저 모의..., 2020.10.23 , 머니S 
41,토스트 나누며 중간고사 수험생 응원,포항대학교 학술정보관은 20일 중간고사 기간을 맞아 대면으로 시험을 치르는 학생들을 응원하기 위해 평보도서관 북카페 내에서 간식 지원 행사를 열었다. 이날 행사는..., 2020.10.21 , 대경일보 
42,"중간고사 보는 부산대, 캠퍼스 10층 건물서 학생 떨어져 사망",재학생이 A씨가 떨어지는 모습을 본 후 경찰에 신고했다. 이날은 부산대 2학기 중간고사 시험기간이어서 건물 안팎에 적지 않은 학생들이 오가던 상황이었다. 이 때문에..., 2020.10.20 , 중앙일보 
43,"진세연, 안경도 귀엽게 소화 ""중간고사 시작""","제공 배우 진세연이 귀여운 매력을 뽐냈다. 진세연은 16일 자신의 SNS에 ""이제 곧 중간고사 시작""이라는 글과 함께 사진 한 장을 게재했다. 공개된 사진 속에는 새침한 표정...", 2020.10.16 , 한국일보 
44,"대전대 총학생회, 중간고사 기간 마스크 배부",대전대학교 34대 일편단심 총학생회가 중간고사 기간을 맞아 재학생들을 위한 마스크 및 손소독제 배부행사를 개최했다고 25일 밝혔다. 준비한 방역물품은 마스크 2000..., 2020.10.25 , 전국매일신문 
45,"고2, 중간고사 끝나면 기말고사? '예비 고3' 준비도 해야","동아일보 DB많은 학교에서 중간고사를 실시하면서, 2학기도 중반을 넘어서고 있다. 고2는 이제 ‘예비 고3’이라는 말을 더 자주 듣는지도 모른다. 본격적인 수험생 생활을...", 2020.10.23 , 에듀동아 
46,"대전대 총학생회, 중간고사 기간 재학생 위한 마스크 및 손소독제...",[충청투데이 윤지수 기자] 대전대는 제34대 일편단심 총학생회가 중간고사 기간을 맞아 재학생들을 위한 마스크 및 손소독제 배부 행사를 개최했다고 25일 밝혔다. 재학생들...,,
47,"대전대 총학생회, 중간고사 기간 재학생 마스크 및 손소독제 배부",이준희 기자] 대전대학교(총장 이종서) 34대 일편단심 총학생회(회장 이정환)가 중간고사 기간을 맞아 재학생들을 위한 마스크 및 손소독제 배부행사를 개최했다. 코로나19..., 2020.10.23 , 뉴스밴드 
48,우석대 중간고사 맞이한 학생 위해 간식 나눔 사업 펼쳐,[베리타스 알파=유재명 기자] 우석대가 중간고사 기간을 맞아 학생들을 격려하기 위해 '간식 나눔'을 진행했다. 21일 남천현 총장과 교무위원 총학생회는 전주캠퍼스 농구장..., 2020.10.21 , 베리타스알파 
49,숭실대 중간고사 이후도 전면 비대면..올해는 비대면으로만,코로나바이러스 감염증(코로나19) 여파로 전면 비대면 수업을 이어오던 숭실대가 중간고사 이후에도 전면 비대면 수업을 지속하기로 했다. 숭실대학교는 6일 교무위원회를..., 2020.10.06 , 뉴스1 
50,"중간고사 마친 중학생, 이번 주말 PC방 올까?","일선 중학교 대다수가 이번 주에 2학기 중간고사를 마무리하는 가운데, 이번 주말부터 중학생 손님들의 PC방 이용 증가가 기대된다. ‘사회적 거리두기’가 지난 10월 12일...", 2020.10.16 , 아이러브PC방 
51,"교통대, 중간고사 간식 전달",한국교통대학교(총장 박준훈)는 지난 20일 2학기 중간고사 기간 중 대면시험을 준비하는 학생들에게 총장이 직접 간식을 전달하는 `Student First 간식 전달 이벤트'를 진행...,,
52,"'어제의 기출을 오늘 본다!' 족보닷컴, 중간고사 대비 빠른족보 ...","떨어지고 있으며, 학습 격차 역시 심해지고 있다. 때문에 학생들의 입장에서는 중간고사를 어떻게 준비할지 다소 난감하기만 한 것이 사실. 이에 족보닷컴에 학생들의 중간...", 2020.10.07 , 서울경제 
53,"대교협 회장 ""대학들 10월 중간고사 후 대면수업 늘릴 것""",협의체인 한국대학교육협의회(대교협) 김인철 회장(한국외대 총장)은 10월 중간고사 이후 대학 대면수업이 늘어날 것이라고 내다봤다. 신종 코로나바이러스 감염증(코로나19..., 2020.10.13 , 뉴시스 
54,"한국교통대학교, 중간고사 ‘Student First 간식 전달 이벤트’ 진행",=한국교통대학교는 20일 2학기 중간고사 기간 중 대면 시험을 준비하는 학생들에게 총장이 직접 간식을 전달하는 ‘Student First 간식 전달 이벤트’를 진행했다. (C..., 2020.10.20 , 브레이크뉴스 
