,ver,hor,y
266,5.77E-01,6.32E-01,0.00E+00
267,6.43E-01,6.70E-01,0.00E+00
268,6.67E-01,6.56E-01,0.00E+00
269,6.67E-01,6.79E-01,0.00E+00
270,6.19E-01,6.53E-01,0.00E+00
271,6.07E-01,6.39E-01,0.00E+00
272,6.92E-01,6.53E-01,0.00E+00
273,6.07E-01,6.36E-01,0.00E+00
274,7.08E-01,6.75E-01,0.00E+00
275,5.99E-01,6.07E-01,0.00E+00
276,6.54E-01,6.26E-01,0.00E+00
277,5.77E-01,5.97E-01,0.00E+00
278,5.71E-01,6.48E-01,0.00E+00
279,5.71E-01,6.26E-01,0.00E+00
280,6.65E-01,6.57E-01,0.00E+00
281,5.00E-01,6.01E-01,0.00E+00
282,6.36E-01,6.74E-01,0.00E+00
283,6.15E-01,6.45E-01,0.00E+00
284,6.92E-01,6.84E-01,0.00E+00
285,5.36E-01,6.18E-01,0.00E+00
286,5.36E-01,5.99E-01,0.00E+00
287,6.32E-01,6.32E-01,0.00E+00
288,5.91E-01,6.39E-01,0.00E+00
289,5.00E-01,5.92E-01,0.00E+00
290,6.07E-01,6.39E-01,0.00E+00
291,5.55E-01,6.22E-01,0.00E+00
292,6.90E-01,6.70E-01,0.00E+00
293,4.48E-01,5.69E-01,0.00E+00
294,6.15E-01,6.08E-01,0.00E+00
295,6.54E-01,6.48E-01,0.00E+00
296,6.29E-01,6.39E-01,0.00E+00
297,6.54E-01,6.30E-01,0.00E+00
298,5.61E-01,6.08E-01,0.00E+00
299,5.93E-01,5.95E-01,0.00E+00
300,6.54E-01,6.35E-01,0.00E+00
301,6.15E-01,6.35E-01,0.00E+00
302,5.71E-01,6.32E-01,0.00E+00
303,5.38E-01,6.16E-01,0.00E+00
304,7.08E-01,6.22E-01,0.00E+00
305,6.07E-01,6.39E-01,0.00E+00
306,6.90E-01,6.66E-01,0.00E+00
307,6.92E-01,6.84E-01,0.00E+00
308,6.54E-01,6.35E-01,0.00E+00
309,5.71E-01,6.13E-01,0.00E+00
310,6.54E-01,6.32E-01,0.00E+00
311,5.00E-01,5.74E-01,0.00E+00
312,5.38E-01,5.57E-01,0.00E+00
313,6.67E-01,6.39E-01,0.00E+00
314,5.55E-01,6.16E-01,0.00E+00
315,5.99E-01,6.40E-01,0.00E+00
316,6.07E-01,6.34E-01,0.00E+00
317,6.83E-01,6.39E-01,0.00E+00
318,5.71E-01,6.21E-01,0.00E+00
319,6.15E-01,6.08E-01,0.00E+00
320,6.79E-01,6.88E-01,0.00E+00
321,6.41E-01,6.08E-01,0.00E+00
322,5.36E-01,6.07E-01,0.00E+00
323,6.92E-01,6.53E-01,0.00E+00
324,6.41E-01,6.05E-01,0.00E+00
325,5.38E-01,5.81E-01,0.00E+00
326,6.54E-01,6.52E-01,0.00E+00
327,7.39E-01,6.75E-01,0.00E+00
328,5.50E-01,6.49E-01,0.00E+00
329,6.15E-01,6.22E-01,0.00E+00
330,6.54E-01,6.39E-01,0.00E+00
331,6.29E-01,6.39E-01,0.00E+00
332,5.71E-01,6.39E-01,0.00E+00
333,6.67E-01,5.97E-01,0.00E+00
334,6.29E-01,6.18E-01,0.00E+00
335,6.41E-01,6.13E-01,0.00E+00
336,5.71E-01,6.34E-01,0.00E+00
337,6.92E-01,6.74E-01,0.00E+00
338,5.55E-01,6.39E-01,0.00E+00
339,6.54E-01,6.45E-01,0.00E+00
340,6.29E-01,6.45E-01,0.00E+00
341,5.91E-01,6.48E-01,0.00E+00
342,7.18E-01,6.70E-01,0.00E+00
343,5.55E-01,6.30E-01,0.00E+00
344,5.91E-01,6.48E-01,0.00E+00
345,6.67E-01,6.30E-01,0.00E+00
346,5.91E-01,6.57E-01,0.00E+00
347,7.50E-01,6.66E-01,0.00E+00
348,5.71E-01,6.49E-01,0.00E+00
349,6.07E-01,6.32E-01,0.00E+00
350,6.43E-01,6.39E-01,0.00E+00
351,6.00E-01,6.26E-01,0.00E+00
352,4.81E-01,6.24E-01,0.00E+00
353,5.58E-01,6.22E-01,0.00E+00
354,5.58E-01,6.26E-01,0.00E+00
355,6.54E-01,6.53E-01,0.00E+00
356,5.36E-01,6.13E-01,0.00E+00
357,5.93E-01,6.32E-01,0.00E+00
358,5.93E-01,6.04E-01,0.00E+00
359,6.43E-01,6.45E-01,0.00E+00
360,5.77E-01,6.06E-01,0.00E+00
361,6.07E-01,6.45E-01,0.00E+00
362,5.93E-01,6.36E-01,0.00E+00
363,6.29E-01,6.58E-01,0.00E+00
364,5.55E-01,6.13E-01,0.00E+00
365,6.19E-01,6.26E-01,0.00E+00
366,6.57E-01,6.48E-01,0.00E+00
367,5.71E-01,6.23E-01,0.00E+00
368,5.86E-01,6.45E-01,0.00E+00
369,6.07E-01,6.32E-01,0.00E+00
370,6.67E-01,6.31E-01,0.00E+00
371,5.99E-01,6.53E-01,0.00E+00
372,5.00E-01,6.45E-01,0.00E+00
373,6.15E-01,6.23E-01,0.00E+00
374,6.15E-01,6.26E-01,0.00E+00
375,6.07E-01,6.23E-01,0.00E+00
376,5.36E-01,5.97E-01,0.00E+00
377,5.00E-01,6.10E-01,0.00E+00
378,6.79E-01,6.53E-01,0.00E+00
379,6.43E-01,6.57E-01,0.00E+00
380,5.71E-01,6.23E-01,0.00E+00
381,5.17E-01,6.30E-01,0.00E+00
382,6.65E-01,6.75E-01,0.00E+00
383,5.36E-01,6.18E-01,0.00E+00
384,5.19E-01,6.25E-01,0.00E+00
385,5.55E-01,6.13E-01,0.00E+00
386,5.36E-01,6.31E-01,0.00E+00
387,6.07E-01,6.36E-01,0.00E+00
388,5.71E-01,6.08E-01,0.00E+00
389,5.86E-01,6.35E-01,0.00E+00
390,6.65E-01,6.71E-01,0.00E+00
391,6.29E-01,6.16E-01,0.00E+00
392,5.88E-01,6.58E-01,0.00E+00
393,6.07E-01,6.32E-01,0.00E+00
394,6.79E-01,6.45E-01,0.00E+00
395,5.52E-01,5.99E-01,0.00E+00
396,6.79E-01,6.66E-01,0.00E+00
397,5.52E-01,5.85E-01,0.00E+00
398,6.21E-01,6.40E-01,0.00E+00
399,6.00E-01,6.18E-01,0.00E+00
400,6.15E-01,6.28E-01,0.00E+00
401,6.43E-01,6.23E-01,0.00E+00
402,5.93E-01,6.18E-01,0.00E+00
403,6.29E-01,6.39E-01,0.00E+00
404,7.03E-01,6.23E-01,0.00E+00
405,5.33E-01,6.23E-01,0.00E+00
406,6.92E-01,6.32E-01,0.00E+00
407,6.29E-01,6.44E-01,0.00E+00
408,5.33E-01,6.23E-01,0.00E+00
409,6.54E-01,6.49E-01,0.00E+00
410,6.54E-01,6.07E-01,0.00E+00
411,5.17E-01,6.10E-01,0.00E+00
412,6.29E-01,6.36E-01,0.00E+00
413,6.15E-01,6.10E-01,0.00E+00
414,5.58E-01,6.66E-01,0.00E+00
415,5.45E-01,6.57E-01,0.00E+00
416,5.38E-01,6.36E-01,0.00E+00
417,5.99E-01,6.23E-01,0.00E+00
418,6.49E-01,6.53E-01,0.00E+00
419,6.15E-01,6.18E-01,0.00E+00
420,5.86E-01,6.18E-01,0.00E+00
421,5.71E-01,6.23E-01,0.00E+00
422,6.79E-01,6.49E-01,0.00E+00
423,6.15E-01,6.36E-01,0.00E+00
424,5.71E-01,6.18E-01,0.00E+00
425,6.15E-01,6.28E-01,0.00E+00
426,6.07E-01,6.18E-01,0.00E+00
427,6.65E-01,6.45E-01,0.00E+00
428,6.15E-01,6.40E-01,0.00E+00
429,6.15E-01,6.18E-01,0.00E+00
430,5.93E-01,6.36E-01,0.00E+00
431,6.92E-01,6.70E-01,0.00E+00
432,6.43E-01,6.58E-01,0.00E+00
433,5.77E-01,6.02E-01,0.00E+00
434,6.00E-01,6.36E-01,0.00E+00
435,6.15E-01,6.35E-01,0.00E+00
436,5.71E-01,6.23E-01,0.00E+00
437,6.29E-01,6.70E-01,0.00E+00
438,5.52E-01,6.36E-01,0.00E+00
439,6.54E-01,6.62E-01,0.00E+00
440,6.07E-01,6.49E-01,0.00E+00
441,6.15E-01,6.49E-01,0.00E+00
442,5.55E-01,6.45E-01,0.00E+00
443,5.99E-01,6.40E-01,0.00E+00
444,5.67E-01,6.32E-01,0.00E+00
445,5.86E-01,6.49E-01,0.00E+00
446,5.52E-01,6.07E-01,0.00E+00
447,6.07E-01,6.36E-01,0.00E+00
448,5.67E-01,6.23E-01,0.00E+00
449,6.00E-01,6.53E-01,0.00E+00
450,5.55E-01,6.17E-01,0.00E+00
451,6.68E-01,6.32E-01,0.00E+00
452,6.92E-01,6.31E-01,0.00E+00
453,6.07E-01,6.32E-01,0.00E+00
454,5.52E-01,6.23E-01,0.00E+00
455,6.00E-01,6.64E-01,0.00E+00
456,6.15E-01,6.36E-01,0.00E+00
457,6.15E-01,6.23E-01,0.00E+00
458,6.29E-01,6.36E-01,0.00E+00
459,5.52E-01,6.23E-01,0.00E+00
460,5.91E-01,6.52E-01,0.00E+00
461,6.07E-01,6.39E-01,0.00E+00
462,5.86E-01,6.58E-01,0.00E+00
463,5.93E-01,6.40E-01,0.00E+00
464,5.71E-01,6.57E-01,0.00E+00
465,5.88E-01,6.53E-01,0.00E+00
466,6.07E-01,6.40E-01,0.00E+00
467,6.07E-01,6.58E-01,0.00E+00
468,5.48E-01,6.36E-01,0.00E+00
469,5.33E-01,6.15E-01,0.00E+00
470,5.67E-01,6.36E-01,0.00E+00
471,5.33E-01,6.43E-01,0.00E+00
472,5.00E-01,5.90E-01,0.00E+00
473,6.07E-01,6.26E-01,0.00E+00
474,5.86E-01,6.39E-01,0.00E+00
475,5.19E-01,6.36E-01,0.00E+00
476,5.52E-01,6.52E-01,0.00E+00
477,5.36E-01,6.18E-01,0.00E+00
478,6.92E-01,6.66E-01,0.00E+00
479,6.29E-01,6.26E-01,0.00E+00
480,5.93E-01,6.10E-01,0.00E+00
481,5.31E-01,6.25E-01,0.00E+00
482,5.48E-01,6.62E-01,0.00E+00
483,6.07E-01,6.29E-01,0.00E+00
484,5.93E-01,6.02E-01,0.00E+00
485,5.77E-01,6.35E-01,0.00E+00
486,5.55E-01,6.14E-01,0.00E+00
487,5.86E-01,6.35E-01,0.00E+00
488,6.29E-01,6.40E-01,0.00E+00
489,5.36E-01,6.49E-01,0.00E+00
490,6.52E-01,6.53E-01,0.00E+00
491,6.07E-01,6.41E-01,0.00E+00
492,6.43E-01,6.45E-01,0.00E+00
493,5.33E-01,6.16E-01,0.00E+00
494,6.33E-01,6.50E-01,0.00E+00
495,5.71E-01,6.01E-01,0.00E+00
496,6.19E-01,6.45E-01,0.00E+00
497,6.07E-01,6.39E-01,0.00E+00
498,6.21E-01,6.53E-01,0.00E+00
499,5.67E-01,6.12E-01,0.00E+00
500,6.19E-01,6.70E-01,0.00E+00
501,5.00E-01,6.10E-01,0.00E+00
502,5.77E-01,6.08E-01,0.00E+00
503,6.07E-01,6.61E-01,0.00E+00
504,6.43E-01,6.83E-01,0.00E+00
505,6.38E-01,6.49E-01,0.00E+00
506,6.32E-01,6.47E-01,0.00E+00
507,5.88E-01,6.33E-01,0.00E+00
508,7.03E-01,6.66E-01,0.00E+00
509,6.07E-01,6.35E-01,0.00E+00
510,6.29E-01,6.23E-01,0.00E+00
511,6.92E-01,6.88E-01,0.00E+00
512,6.65E-01,6.62E-01,0.00E+00
513,5.33E-01,6.28E-01,0.00E+00
514,6.70E-01,6.66E-01,0.00E+00
515,6.29E-01,6.26E-01,0.00E+00
516,5.52E-01,6.10E-01,0.00E+00
517,6.07E-01,6.48E-01,0.00E+00
518,5.67E-01,6.26E-01,0.00E+00
519,5.52E-01,6.26E-01,0.00E+00
