,title
139,"연세대 ""중간고사까지 온라인만으로 수업"""
140,수학인강만으로 수학 점수 40점 이상 오른 비결
141,"토즈 스터디센터, 예비 고1 대상 60만원 상당 1:1 학습 종합 컨설..."
142,"'전참시' 구혜선, '구방미인' 작업실 공개"
143,"대학원 숙제부터 셀프 커트까지..구혜선, '전참시'서 일상 공개한다"
144,서강대 10월16일 중간고사 전까지 비대면강의..개교 60주년 행사...
145,"'전참시' 구혜선, 이혼 후 첫 예능..'구방미인' 작업실 일상 공개..."
146,"'전참시' 구혜선, 먹방+노필터링 일상 공개"
147,"'전참시' 구혜선, 이혼 후 첫 예능..선지국 먹방+소탈한 일상 공개"
148,"구혜선, 이혼 후 첫 예능..가감없는 반전 일상 공개 ('전참시')"
149,"구혜선 '전참시' 출격, 작업실→작품활동 'NO필터' 일상 공개 [공식]"
150,"'전참시' 구혜선, 필터링 제로 일상 공개..셀프 앞머리 커트+먹방..."
151,"'이혼 후 예능출연' 구혜선, 전참시 뜬다"
153,"'전참시' 구혜선, '구방미인' 작업실 공개..필터링 제로 일상 오픈"
154,본격적인 행보?..구혜선 '전참시'로 활동 가동
155,"구혜선 '전참시' 출격, 셀프 앞머리 커트→먹방 공개..필터링 제..."
156,"'전참시' 구혜선, 이혼 후 첫 예능 출격..'필터링 제로' 일상 오픈"
157,"구혜선, '전참시'서 일상 공개.. 셀프 앞머리 커트→먹방"
158,"'전참시' 구혜선, 매니저 없이 '혼자서도 잘해요'..특별한 해장국..."
159,예능으로 돌아온 구혜선..'전참시'서 일상 공개
160,'전참시' 구혜선이 뜬다! '구방미인 작업실' 大공개
161,"구혜선, 이혼 후 첫 예능 출연..'전참시'서 생생한 일상 공개"
162,"'전참시' 구혜선, 이혼 후 첫 예능..'구방미인' 작업실→해장국 먹방"
163,"'전참시' 구혜선, 대학원생·미술작가로 '구방미인' 일상 공개"
164,"구혜선, '전참시' 출격..작업실→반전 일상 大 공개"
165,[시청률 VS.] ‘전지적 참견 시점’ 구혜선 서프라이즈 일상 공개...
166,'이혼 후 첫 예능나들이' 구혜선의 일상이 공개된다(ft.전참시)
167,"'전참시' 구혜선, 식초 해장국 먹방→작업실 일상까지"
168,"‘전지적참견시점’ 구혜선, 작업실→식초 해장국 먹방.. 매니저 ..."
169,연세대 2학기 중간고사까지 전면 온라인수업..모든 과목 절대평가
170,"'전지적 참견 시점' 구혜선, 다재다능한 서프라이즈 일상 공개"
171,"연세대, 10월 말까지 전면 온라인수업..중간고사도 비대면 평가"
172,고려대서 대면시험 본 학생 1명 확진..동선파악·방역조치
173,"연세대, 2학기 중간고사까지 전면 온라인 강의한다"
174,"[기초학력 8편] 중학생 기자가 본 원격수업..""개선됐지만 불안"""
175,"물로 배 채운 시절, 서랍에 '빵' 넣어준 친구를 찾습니다"
176,"연세대, 2학기 10월까지 온라인강의..중간고사는 절대평가"
177,"'최파타' 우주소녀 쪼꼬미 ""흥칫뿡 챌린지, 환불원정대 가장 기억..."
179,중학교 2학기 중간고사 대비도 스마트학습으로 안전하고 효율적으로
180,"""고교생, 코로나 악화 대비 2학기 중간고사·원격수업 집중해야"""
181,"대구대, 찾아가는 청년고용정책 홍보 '호응'"
183,"남규리, 現 소속사와 이별..""'카이로스' 종영 후 거취 결정"""
184,"중앙대, 2학기 개강일에 수업방식 변경...중간고사까지 전면 비대면"
185,"연세대, 2학기 중간고사까지 온라인수업 전환…중간고사도 비대면..."
186,"안재현, 살 쏙 빠진 근황… 구혜선 ‘전참시’서 물오른 미모"
187,"삼육대, 중간고사 전까지 전면 비대면 수업"
189,고교 2학기 중간고사 지필시험 볼까..교육당국 협의 속도
190,"삼육대, 중간고사 전까지 전면 비대면 수업"
192,"""빵 한개 값도 안되는 '천원 밥상'..아침이 든든"""
193,"[인공지능시대 미래교육] 시험, 언제까지 펜으로?...""디지털 시험..."
194,[Opinion] 24절기 책꾸러미 - 2020 입동 (立冬) [도서]
195,코로나19로 운영 중단 전남대 '천원의 아침밥' 재개
196,수능? 대학별 고사? 재수?..추석연휴 집중 학습법
198,‘하렘의 남자들’ 패러디 영상 ‘시험의 남자들’ 노소리 화제
199,"금성출판사 푸르넷 에듀, 예비 중학생 위한 신규 강좌 오픈"
200,"삼육대, 중간고사 전까지 전면 비대면 수업"
201,"삼육대, 중간고사 전까지 전면 비대면 수업"
202,"삼육대, 중간고사 전까지 전면 비대면 수업"
204,노래방 사람 몰리는데..대학 '대면수업 재개' 괜찮을까 [현장+]
205,"구혜선, '전참시'로 이혼 후 첫예능 출격…필터링 제로 일상 오픈"
206,"경북대, 3주간 '비대면 수업'…영남대는 중간고사 전까지"
207,'서울시장 선거 지면 끝'..터져 나오는 '反문재인연대' 될까?
208,"삼육대, 2학기 중간고사 전까지 전면 비대면 수업 실시"
209,"'자습시간 추행 혐의' 여고 교사 1심 무죄..""증명 없어"""
210,"토즈 스터디센터, 대입 성공을 위한 예비 고1 회원 대상 60만원 ..."
211,"구혜선, '전참시'로 방송 컴백…작업실 라이프 공개"
212,"‘전참시’ 구혜선, 솔직 일상 공개..구방미인 작업실 라이프 ‘..."
213,"'전지적 참견 시점' 구혜선, '구방미인' 작업실 라이프 공개"
214,"'전지적 참견 시점' 구혜선, '구방미인 작업실 공개'"
215,"'전지적 참견시점' 구혜선, '라떼월드 + 화가 + 셀프 앞머리 커트..."
216,"구혜선, '전지적 참견 시점' 출격…'구방미인' 작업실 라이프 大공개"
217,"'전참시' 구혜선, 이혼 후 첫 관찰예능…셀프 앞머리 커트 등 '반..."
218,"군산대,'대학일자리센터 및 청년고용정책 야외홍보 행사'개최"
220,'셀프 주유·해장국 원샷' 구혜선 이혼 후 일상 공개...안재현 근...
221,"""'김종인의 선거' 결과 봐야"" ""'집토끼'도 떠나겠다""..국민의힘 '..."
222,"스페셜 매치 마친 김학범호, 최종 엔트리 전쟁 '중간 점검'"
223,"삼육대, 코로나19 영향으로 중간고사 전까지 전면 비대면 수업"
224,무인-AI 감독관시험 대학가 등장…UBT클라우드·REC 등 적용
225,"삼육대학교, 코로나19 신규 확진자 급증에 따라 2학기 중간고사 ..."
226,"연세대, 2학기도 중간고사까지 온라인만으로 수업한다"
227,고려대 학생 1명 코로나19 확진…‘생명과학관’서 대면시험
229,"중·고등영어 1위 해커스, '기출로 적중 해커스 중학영문법' 3종 ..."
230,"대면수업 전환하는 대학가..""여전히 불안한 상황"" 우려도"
231,"YBM, 중학영어 내신대비 '알리GO 올리GO' 26일 전국 주요 서점서 ..."
232,"네네치킨, 'SKT 0한동' 제휴 .. 대학생들에게 '치킨시식권' 쏜다"
