,title,body,date,news
303,"조선대학교, 9월 28일까지 모든 교과목 비대면 수업 진행",직접 강의한 영상을 촬영하여 조선대학교 사이버캠퍼스에 업로드한다. 실험·실습·실기...상시 모니터링과 중간고사 후부터 기말고사 전 2차례의 수업평가를 진행하며 수업..., 2020.08.27 , 중앙통신뉴스 
304,"조선대학교, 9월 28일까지 전면 비대면 수업 진행",직접 강의한 영상을 촬영하여 조선대학교 사이버캠퍼스에 업로드하는 방식이다. 실험...수업에 대한 상시 모니터링과 중간고사 후부터 기말고사 전 2차례의 수업평가를 진행..., 2020.08.27 , 광주드림 
305,"안산대, 대면시험 학생들을 위한 기말고사 ‘A+간식타임’ 이벤트...",[한국대학신문 조영은 기자] 안산대학교(총장 안규철)는 6월 29일 기말고사 기간을 맞아 대면으로 시험을 치르는 학생들을 응원하기 위해 ‘A+ 간식타임 이벤트’를 실시..., 2020.07.01 , 한국대학신문 
306,"연암공대, 방역대책 철저 준수해 기말고사 진행",[대학저널 임지연 기자] 연암공과대학교(총장 안승권)가 철저한 방역대책을 시행하며...공정성 등의 문제 해결을 위해 대면 기말고사를 실시하게 됐다. 연암공대는 학생..., 2020.06.19 , 대학저널 
307,거제대학교 기말고사 기간 빵 나눔 행사 개최,전영기)는 지난 14일 오후 교내 태랑마당 광장에서 전영기 총장과 행정부서장이 기말고사를 치르는 학생들을 격려하기 위해 빵과 음료를 나누어 주는 행사를 가졌다. 학생..., 2016.06.20 , 거제인터넷뉴스 
308,"유한대학교, 기말고사ㆍ취업준비생에게 간식 제공","[뉴스피크] 유한대학교(총장 이권현)는 기말고사 기간을 맞아 지난 17일 학생식당 중앙로비에서 500인분의 간식꾸러미(핫팩, 귤, 도너츠 등)와 따뜻한 오뎅국물을 재학생들...", 2014.12.18 , 뉴스피크 
309,"‘집단 커닝’ 홍역 치른 인하대, 기말고사 부정 방지 대책 강화",시험 집단 커닝으로 물의를 빚은 인하대학교가 부정행위 방지 대책을 대폭 강화해 기말고사를 치른다. 인하대는 이달 15일부터 다음달 23일까지 1학기 기말고사를 대면...,,
310,인천대 온라인 시험 집단 부정행위 관련 공대생 13명 징계 절차,인천대학교 전경 [인천대학교 제공] 인천대학교는 온라인으로 치른 기말고사에서 집단 부정행위를 저지른 공과대학 소속 13명에 대해 해당 시험 성적을 0점 처리하고 상벌..., 2020.07.23 , MBC 
311,"거제대학교, 기말고사 기간 빵 나눔 행사 개최",전영기)는 지난 14일 오후 교내 태랑마당 광장에서 전영기 총장과 행정부서장이 기말고사를 치르는 학생들을 격려하기 위해 빵과 음료를 나누어 주는 행사를 가졌다. 양승주..., 2016.06.21 , 뉴스앤거제 
312,"배재대, 기말고사 단과대학별 분산배치·모든 건물 방역소독 정례화",신문=대전] 조수인 기자 = 배재대학교는 코로나19 감염 예방을 위해 올해 1학기 기말고사를 앞두고 대학 내 모든 건물의 방역 소독을 진행 중이라고 18일 밝혔다.배재대는..., 2020.06.18 , 충청신문 
313,"유한대학교,기말고사 및 취업준비에 지친 재학생 격려","""간식 먹고 힘 내세요"" 유한대학교(총장 이권현)는 기말고사 기간을 맞아 12월 8일 학생식당 중앙로비에서 500인분의 간식꾸러미(핫팩, 귤, 도너츠, 견과류 등)와 제주도...", 2015.12.09 , (주)경기 타임스 
