,title,body,date,news
543,"한화생명, 디지털 채널 ‘LIFE MD’ 공식 출범···비대면 보험...",작성하는 과정을 거친다. 이와 달리 LIFE MD는 설계사 자격 시험 통과를 위한 모든 학습이 비대면으로 이뤄진다. 전용 앱을 설치한 후 휴대폰 본인인증을 거쳐 사용자 정보..., 2020.10.19 , 녹색경제 
544,"김정우 신임 조달청장 ""공공조달 패러다임 바꿔야""…취임 첫 행보...","12억장의 공적 공급과 1억5000만장 비축 등 공공 조달의 위기 대응 능력을 시험하고, 디지털·비대면의 조달혁신을 가속하는 계기가 됐다""며 이같이 말했다. 이어 ""최저가...", 2020.11.02 , 이투데이 
545,"코로나 블루 주의보..英 연구진, 우울증 진단 학생 '시험 연기' 제안","획일적입니다. 시험을 못 보는 건 공부가 부족해서가 아니냐, 그럴수록 더 가르치고...2미터 거리 두기, 마스크 착용, 수시로 장비 소독, 철저히 지키고 있고요. 비대면...", 2020.10.12 , EBS 
546,"김정우 조달청장 ""공공조달 패러다임 근본적으로 바꿔야""","12억매의 공적 공급과 1억5000만매 비축 등 공공 조달의 위기 대응 능력을 시험하고 디지털·비대면의 조달혁신을 가속하는 계기가 됐다""며 ""공공 조달의 패러다임을 근본적...", 2020.11.02 , 충청일보 
547,"[오늘의 키워드] 정부, 부동산 비대면 거래 시스템 도입 검토..중...","정부, VR·AR 등 매물 확인 시스템 도입 검토 - 코로나에 비대면 각광…부동산 비대면 거래 전환 - 중개사 시험, 올해 약 30만 응시…생존권 위기 - 협회 ""생존 위협…1...", 2020.09.24 , SBSCNBC 
548,"[이슈 완전정복] ""백신 나와도 일상 정상화 내후년""..잇따른 코로...",임상 시험의 엄격한 대상이 아니라고 하더라도 동정적 사용 목적으로 해서 투여가 가능할 것으로 예상됩니다. ◀ 앵커 ▶ 이걸 다행이라고 할 수 없겠지만요. 올해 코로나..., 2020.10.29 , MBC 
549,"2020 서울시 청소년 어울림마당, 10월 비대면 개최","거리두기 장기화로 인해 올해 처음 비대면으로 시작되어 9월까지 총 7개의 청소년...이번 행사는 많은 청소년들의 시험 일정이 끝나는 시점에 맞춰 10월 24일(토), 10월...", 2020.10.19 , 웰뉴스 
550,거리두기 1단계 실내·대중교통 마스크 착용 의무..2.5단계엔 실...,"자격증시험 등이다. 1.5단계에서는 500인 이상 모임·행사에 대해 1단계와 동일한 조치를 적용하되, 구호, 노래, 장시간의 설명·대화 등 위험도 높은 활동을 동반하는 집회...", 2020.11.01 , 뉴스1 
551,"대구시, '국비 확보' 국민의힘 공조체계 .. 2일 시청서 예산정책...",의원들이 비대면 온라인 '예산정책협의회'를 열고 있는 모습. [아시아경제 영남취재본부 박동욱 기자] 대구시는 2일 오전 9시 시청에서 '국민의힘 민생정책발굴단'과 함께..., 2020.11.01 , 아시아경제 
552,"선린대 간호학부, 美 간호면허 교육 성료",18회 NCLEX-RN(미국 간호사 면허시험) 교육과정 수료식을 가졌다. 올해 NCLEX-RN교육...으로 운영됐다. 코로나 19로 비대면 온라인 수업으로 진행된 가운데 이번 교육..., 2020.11.04 , 대경일보 
553,"토픽코리아 IATA항공승무원, 한국어교원 양성과정 내일배움카드 ...",공인 취득과정과 한국어교원3급 양성과정 시험준비를 위해 10월 20일에 직장인 국비지원...과정에 등록되어 있는 과정이며 비대면 온라인강의로 진행한다. 근로자라면..., 2020.10.19 , 디스커버리뉴스 
554,"세종대, 비대면 및 대면으로 1학기 시험 치뤄",대학교(총장 배덕효)는 지난 6월 22일부터 26일까지 1학기 기말고사를 대면 및 비대면 시험으로 치뤘다고 30일 밝혔다. 세종대는 최근 수도권의 코로나19 집단 감염이 확산..., 2020.06.30 , 지디넷코리아 
555,“약대생도 실기시험 통해 실무능력 배양해야”,"김 교수는 임상실무 수행능력 평가에서 코로나19로 인해 비대면으로 수업을 수강한 학생이 많아 실기 시험에 참여할 학생을 구하기 어려웠고, 약대생들이 실기시험에 대해...", 2020.10.23 , 의약뉴스 
556,한화생명의 ‘비대면’ 승부수… 김동원의 ‘LIFE MD’,"거쳐 사용자 정보를 등록한 후 자격시험 일정을 신청하면 된다. 다만, 설계사 자격시험...새로운 플랫폼이 될 것""이라며 ""비대면·언택트 시대에서 새로운 기회를 만들 수...", 2020.10.20 , 민주신문 
557,"박능후 ""의사 국가시험 재시험 계획 현재로선 없어""","박능후 보건복지부 장관은 의사 국가시험을 거부한 의대생들에게 추가 응시 기회를 부여...의대정원 확대, 첩약급여 시범사업, 비대면 진료 등 정부의 보건의료 정책에 반발...", 2020.10.22 , TBS 
558,‘스마트헬스케어’ 산업 생태계 활성화 방안은,"서비스(제품)를 제공하고, 병원은 임상시험 테스트베드를 지원하는 것”이라고 설명했다...코로나19를 겪으며 돌봄시스템 보완과 비대면 의료 강화를 위한 스마트 의료...", 2020.11.07 , MBN 
559,"면접도 언택트 시대..안산시, 공무원 채용 면접 비대면 전환","했는데 그래도 잘 전달된 것 같습니다."" ▶ 스탠딩 : 윤길환 / 기자 - ""이번 비대면 면접시험을 통해 최종 합격하는 170여 명의 응시자는 다음 달 중 정식 임용될 예정...", 2020.09.02 , 메디포뉴스 
560,"KoNECT, APEC 전문교육훈련기관 온라인 교육 성료","국가임상시험지원재단(이사장 배병준, 이하 재단)은 지난 10월 14일부터 11월 1일까지...훈련기관(Centers of Excellence, CoE) 비대면 온라인 교육을 성공적으로 개최...",,
561,"포항 선린대학교, 'NCLEX-RN 교육과정' 수료식 개최","NCLEX-RN(미국 간호사 면허시험) 교육과정 수료식을 개최했다. 올해 NCLEX-RN교육과정은...으로 운영됐으며, 코로나19로 인해 비대면 온라인 수업으로 전면 진행해 수료생들...", 2020.11.04 , NSP통신 
562,대면vs비대면..기말시험 목전 대학가 여전히 '갈팡질팡',"앓고 있다. 수도권을 중심으로 소규모 집단 감염이 계속되면서 온라인을 통한 '비대면 시험'을 원칙으로 정한 학교가 많은 한편, 대면 시험 방침을 고수하다 학생들과 마찰...", 2020.06.09 , 연합뉴스 
563,"호남대, 12일부터 ‘제한적 대면수업’",안내할 예정이다. 시험평가도 중간고사는 생략하고 기말고사를 실시하되 대면시험을 원칙으로 교수 재량에 따라 비대면 시험 및 과제물이나 실기 등으로 대체가 가능토록..., 2020.10.12 , 대학저널 
564,"[세계로컬핫뉴스] 강원도립대학교 교수학습센터, 비대면 온라인 ...","19로 인한 교육부 권고에 따라 실시간 비대면 온라인으로 진행하여 재학생들에게 큰...필요성과 학습전략, 한국사능력검정시험 기출/빈출 문제 유형 분석, 주요 핵심내용...", 2020.10.22 , 세계타임즈 
565,8개월 만에 사법시험에 합격한 의대생의 ‘심플한 공부법’,"혼공’의 시대는 일찍이 열렸지만, 비대면이 생활화되면서 더욱이 혼자 하는 공부의...의대 재학 중 휴학 없이 8개월 만에 사법시험에 합격한 저자는 ‘공부의 신’으로...", 2020.10.26 , 시민일보 
566,"호남대, 10월 12일부터 ‘제한적 대면수업’",시험평가도 중간고사는 생략하고 기말고사를 실시하되 대면시험을 원칙으로 교수 재량에 따라 비대면 시험 및 과제물이나 실기 등으로 대체가 가능토록 했다. 김은유 기자..., 2020.10.12 , 광주드림 
567,"한국토픽교육센터, 사회복지사 1급·산업안전기사 등 유망자격증 ...","복지사1급, 산업안전기사 국가기술자격증 시험준비를 위해 11월 6일에 근로자 국비지원...고용노동부 내일배움카드를 발급받아 비대면 온라인학습이 가능하다. 사회복지사...", 2020.11.05 , 에너지경제 
568,코로나 혼공시대…교육업계 ‘비대면 서비스’ 강화,대교에서 제공하는 모든 교육서비스를 비대면으로 이용할 수 있다. 대교는 또한 언택트...맞아 성인들이 체계적으로 외국어 어학시험준비를 할 수 있도록 돕는 성인 어학..., 2020.10.11 , 이투데이 
569,"법률저널 PSAT 전국모의고사, 신청자 400명 돌파","떨어진 탓이다. 하지만 코로나19가 장기화되고 내년 시험에서도 코로나와 함께 치러야 하는 상황에서 비대면 수요가 늘고, 온라인 상에서 문제 구현 기술도 더욱 발전한 데...", 2020.11.04 , 법률저널 
570,"코로나 시대, 눈에 띄는 교육업계 비대면 서비스는?","출시했다. 스마트올 투게더는 선생님과 비대면 화상수업으로 관리를 받으면서, 자기주도...영어, 일본어, 중국어 등 외국어 어학시험 준비를 할 수 있도록 돕는 성인 어학...", 2020.10.01 , 쿠키뉴스 
571,랜선 입사하고 온라인 연수하고..코로나19로 달라진 채용,"코로나 19가 취업문화까지 비대면으로, 바꿨습니다. 능력이야 시험이라도 친다지만. 눈맞춤 하며 알 수 있는 그 사람만 가진 느낌. 이런 걸 만나지도 않고 어떻게 평가할까...", 2020.10.18 , 채널A 
572,"한화생명, 비대면 설계사 육성 프로그램 론칭…“멀티잡 가능”",전업설계사로의 성장도 지원할 계획이다. LIFE MD는 설계사 자격 시험 통과를 위한 모든 학습이 비대면으로 이뤄진다. 전용 앱을 설치한 후 휴대폰 본인인증을 거쳐 사용자..., 2020.10.19 , 매일일보 
573,"바리스타 포함 미래유망자격증, 한국직업능력진흥원 비대면 무료...","마케팅관련자격증 등 60여 과정에 대해 무료로 자격증 취득 수업을 받을 수 있도록 비대면 무료수강을 지원한다고 밝혔다. 수강료, 교재, 시험응시비용까지 무료지원되는...", 2020.10.22 , 잡포스트 
